settlement_id,auth_id,merchant_id,settled_amount,settled_ts,settled_date,currency
s58,58,18,29.48,2026-08-04 00:05:00,2026-08-04,USD
s59,59,15,251.83,2026-08-04 16:41:00,2026-08-04,USD
s60,60,29,52.17,2026-08-07 11:26:00,2026-08-07,USD
s61,61,22,8.11,2026-08-03 17:02:00,2026-08-03,USD
s62,62,30,10.17,2026-08-09 13:03:00,2026-08-09,USD
s63,63,13,26.45,2026-08-03 09:28:00,2026-08-03,USD
s64,64,57,34.76,2026-08-03 17:26:00,2026-08-03,USD
s65,65,6,31.16,2026-08-03 15:15:00,2026-08-03,USD
s66,66,30,33.47,2026-08-05 13:21:00,2026-08-05,USD
s67,67,60,43.63,2026-08-03 04:28:00,2026-08-03,USD
s68,68,35,27.92,2026-08-05 18:24:00,2026-08-05,USD
s69,69,15,62.36,2026-08-03 15:02:00,2026-08-03,USD
s70,70,9,24.75,2026-08-03 13:55:00,2026-08-03,USD
s71,71,42,19.94,2026-08-03 10:40:00,2026-08-03,USD
s72,72,46,94.68,2026-08-03 07:47:00,2026-08-03,USD
s73,73,6,21.91,2026-08-03 01:20:00,2026-08-03,USD
s74,74,51,8.43,2026-08-03 05:11:00,2026-08-03,USD
s75,75,6,31.29,2026-08-02 20:16:00,2026-08-02,USD
s76,76,30,40.78,2026-08-07 14:54:00,2026-08-07,USD
s77,77,20,13.84,2026-08-03 22:18:00,2026-08-03,USD
s78,78,2,13.2,2026-08-03 07:38:00,2026-08-03,USD
s79,79,52,13.1,2026-08-04 20:06:00,2026-08-04,USD
s80,80,58,36.13,2026-08-02 10:47:00,2026-08-02,USD
s81,81,27,13.78,2026-08-03 08:58:00,2026-08-03,USD
s82,82,53,0.96,2026-08-07 17:23:00,2026-08-07,USD
s83,83,6,38.09,2026-08-03 03:43:00,2026-08-03,USD
s84,84,15,21.19,2026-08-03 22:19:00,2026-08-03,USD
s85,85,42,20.81,2026-08-03 12:29:00,2026-08-03,USD
s86,86,24,30.76,2026-08-03 20:06:00,2026-08-03,USD
s87,87,54,28.15,2026-08-03 11:06:00,2026-08-03,USD
s88,88,44,3.05,2026-08-03 14:05:00,2026-08-03,USD
s89,89,43,8.44,2026-08-09 02:53:00,2026-08-09,USD
s90,90,49,30.03,2026-08-05 08:54:00,2026-08-05,USD
s91,91,10,57.64,2026-08-04 00:11:00,2026-08-04,USD
s92,92,17,27.88,2026-08-03 16:14:00,2026-08-03,USD
s93,93,40,36.07,2026-08-05 21:06:00,2026-08-05,USD
s94,94,32,61.92,2026-08-02 12:38:00,2026-08-02,USD
s95,95,34,15.26,2026-08-05 13:28:00,2026-08-05,USD
s96,96,57,18.21,2026-08-03 21:16:00,2026-08-03,USD
s97,97,24,23.48,2026-08-04 17:03:00,2026-08-04,USD
s98,98,38,55.14,2026-08-03 23:03:00,2026-08-03,USD
s99,99,19,31.16,2026-08-03 11:54:00,2026-08-03,USD
s100,100,36,10.37,2026-08-03 19:59:00,2026-08-03,USD
s101,101,43,68.78,2026-08-06 00:11:00,2026-08-06,USD
s102,102,56,5.81,2026-08-02 12:26:00,2026-08-02,USD
s103,103,30,16.61,2026-08-03 04:10:00,2026-08-03,USD
s104,104,49,19.29,2026-08-03 08:13:00,2026-08-03,USD
s105,105,49,30.31,2026-08-03 01:14:00,2026-08-03,USD
s107,107,48,30.37,2026-08-03 02:25:00,2026-08-03,USD
s108,108,56,21.42,2026-08-03 22:40:00,2026-08-03,USD
s109,109,27,19.89,2026-08-03 02:27:00,2026-08-03,USD
s110,110,55,11.68,2026-08-03 07:21:00,2026-08-03,USD
s111,111,50,12.05,2026-08-04 23:52:00,2026-08-04,USD
s112,112,42,46.38,2026-08-03 05:49:00,2026-08-03,USD
s113,113,41,33.1,2026-08-03 20:20:00,2026-08-03,USD
s114,114,10,20.59,2026-08-02 09:29:00,2026-08-02,USD
s115,115,29,3.56,2026-08-05 14:37:00,2026-08-05,USD
s116,116,36,28.11,2026-08-02 10:45:00,2026-08-02,USD
s117,117,6,34.64,2026-08-03 11:58:00,2026-08-03,USD
s118,118,19,11.35,2026-08-03 10:06:00,2026-08-03,USD
s119,119,36,36.04,2026-08-02 11:19:00,2026-08-02,USD
s120,120,42,56.85,2026-08-03 04:42:00,2026-08-03,USD
s121,121,45,240.03,2026-08-03 00:23:00,2026-08-03,USD
s122,122,20,15.71,2026-08-03 03:32:00,2026-08-03,USD
s123,123,50,31.03,2026-08-04 19:24:00,2026-08-04,USD
s124,124,10,259.16,2026-08-03 14:39:00,2026-08-03,USD
s125,125,19,144.31,2026-08-04 06:23:00,2026-08-04,USD
s126,126,44,26.66,2026-08-03 19:08:00,2026-08-03,USD
s127,127,56,8.37,2026-08-05 09:05:00,2026-08-05,USD
s128,128,49,11.16,2026-08-06 14:56:00,2026-08-06,USD
s129,129,23,106.96,2026-08-11 07:01:00,2026-08-11,USD
s130,130,21,74.43,2026-08-03 22:30:00,2026-08-03,USD
s131,131,29,73.21,2026-08-03 03:49:00,2026-08-03,USD
s132,132,19,15.47,2026-08-03 15:38:00,2026-08-03,USD
s133,133,35,15.41,2026-08-03 21:42:00,2026-08-03,USD
s134,134,6,25.96,2026-08-03 12:55:00,2026-08-03,USD
s136,136,51,10.18,2026-08-04 01:22:00,2026-08-04,USD
s137,137,35,12.21,2026-08-03 02:45:00,2026-08-03,USD
s138,138,50,2.62,2026-08-03 08:02:00,2026-08-03,USD
s139,139,49,15.17,2026-08-03 23:28:00,2026-08-03,USD
s140,140,58,85.51,2026-08-06 02:46:00,2026-08-06,USD
s141,141,28,5.74,2026-08-02 09:28:00,2026-08-02,USD
s142,142,39,51.41,2026-08-05 19:27:00,2026-08-05,USD
s143,143,18,68.9,2026-08-03 00:09:00,2026-08-03,USD
s144,144,55,73.4,2026-08-03 12:36:00,2026-08-03,USD
s145,145,3,56.94,2026-08-03 12:20:00,2026-08-03,USD
s146,146,42,40.42,2026-08-03 22:58:00,2026-08-03,USD
s147,147,32,14.36,2026-08-03 21:54:00,2026-08-03,USD
s148,148,21,59.87,2026-08-05 11:32:00,2026-08-05,USD
s149,149,15,16.52,2026-08-03 14:51:00,2026-08-03,USD
s150,150,36,8.05,2026-08-03 04:20:00,2026-08-03,USD
s151,151,42,7.16,2026-08-04 04:27:00,2026-08-04,USD
s152,152,33,14.84,2026-08-03 02:16:00,2026-08-03,USD
s153,153,13,39.03,2026-08-03 18:37:00,2026-08-03,USD
s154,154,10,6.35,2026-08-02 02:02:00,2026-08-02,USD
s155,155,42,52.01,2026-08-02 20:19:00,2026-08-02,USD
s156,156,31,3.08,2026-08-02 13:30:00,2026-08-02,USD
s157,157,30,3.46,2026-08-03 04:48:00,2026-08-03,USD
s158,158,24,25.18,2026-08-03 01:18:00,2026-08-03,USD
s159,159,25,64.48,2026-08-03 15:32:00,2026-08-03,USD
s160,160,30,28.86,2026-08-07 18:22:00,2026-08-07,USD
s161,161,4,2.79,2026-08-05 04:56:00,2026-08-05,USD
s162,162,17,152.01,2026-08-03 17:18:00,2026-08-03,USD
s163,163,5,17.83,2026-08-04 04:06:00,2026-08-04,USD
s164,164,26,28.24,2026-08-03 01:08:00,2026-08-03,USD
s165,165,46,21.04,2026-08-02 05:25:00,2026-08-02,USD
s166,166,40,49.88,2026-08-03 15:52:00,2026-08-03,USD
s167,167,2,13.16,2026-08-04 19:30:00,2026-08-04,USD
s168,168,17,30.29,2026-08-03 04:52:00,2026-08-03,USD
s170,170,21,19.81,2026-08-06 22:08:00,2026-08-06,USD
s171,171,34,12.18,2026-08-06 17:21:00,2026-08-06,USD
s172,172,35,10.98,2026-08-06 17:19:00,2026-08-06,USD
s173,173,15,121.64,2026-08-03 09:07:00,2026-08-03,USD
s174,174,37,45.7,2026-08-03 22:05:00,2026-08-03,USD
s175,175,23,39.88,2026-08-03 19:47:00,2026-08-03,USD
s176,176,38,55.03,2026-08-04 21:49:00,2026-08-04,USD
s177,177,9,104.96,2026-08-07 09:41:00,2026-08-07,USD
s178,178,4,31.38,2026-08-03 01:53:00,2026-08-03,USD
s180,180,20,26.76,2026-08-03 04:54:00,2026-08-03,USD
s181,181,33,23.08,2026-08-03 00:47:00,2026-08-03,USD
s182,182,22,31.19,2026-08-05 16:20:00,2026-08-05,USD
s183,183,6,9.32,2026-08-02 07:28:00,2026-08-02,USD
s184,184,49,16.92,2026-08-03 01:42:00,2026-08-03,USD
s185,185,8,27.62,2026-08-04 22:07:00,2026-08-04,USD
s186,186,41,59.2,2026-08-03 23:38:00,2026-08-03,USD
s187,187,24,21.7,2026-08-03 21:48:00,2026-08-03,USD
s188,188,39,21.94,2026-08-03 18:34:00,2026-08-03,USD
s189,189,10,18.53,2026-08-03 14:08:00,2026-08-03,USD
s190,190,33,8.18,2026-08-04 08:52:00,2026-08-04,USD
s191,191,1,60.34,2026-08-03 02:59:00,2026-08-03,USD
s192,192,31,3.25,2026-08-03 12:05:00,2026-08-03,USD
s194,194,20,28.03,2026-08-03 04:17:00,2026-08-03,USD
s195,195,13,13.97,2026-08-03 19:43:00,2026-08-03,USD
s196,196,46,52.5,2026-08-03 04:32:00,2026-08-03,USD
s197,197,19,38.23,2026-08-02 13:19:00,2026-08-02,USD
s198,198,18,48.23,2026-08-03 22:26:00,2026-08-03,USD
s199,199,27,10.29,2026-08-03 14:58:00,2026-08-03,USD
s200,200,4,683.05,2026-08-03 20:05:00,2026-08-03,USD
s201,201,60,21.69,2026-08-03 02:12:00,2026-08-03,USD
s202,202,52,127.48,2026-08-05 00:13:00,2026-08-05,USD
s203,203,60,4.54,2026-08-03 12:58:00,2026-08-03,USD
s204,204,16,49.14,2026-08-03 16:56:00,2026-08-03,USD
s205,205,32,26.32,2026-08-06 10:26:00,2026-08-06,USD
s206,206,3,12.5,2026-08-03 09:09:00,2026-08-03,USD
s207,207,13,19.27,2026-08-04 15:46:00,2026-08-04,USD
s208,208,42,48.72,2026-08-03 17:41:00,2026-08-03,USD
s210,210,9,48.82,2026-08-03 19:40:00,2026-08-03,USD
s211,211,43,26.7,2026-08-07 16:52:00,2026-08-07,USD
s212,212,45,115.79,2026-08-02 19:33:00,2026-08-02,USD
s213,213,17,56.25,2026-08-03 22:14:00,2026-08-03,USD
s214,214,20,154.07,2026-08-03 01:40:00,2026-08-03,USD
s215,215,1,34.52,2026-08-07 07:13:00,2026-08-07,USD
s216,216,58,23.58,2026-08-03 10:01:00,2026-08-03,USD
s217,217,14,49.8,2026-08-03 18:53:00,2026-08-03,USD
s218,218,55,4.69,2026-08-04 16:47:00,2026-08-04,USD
s219,219,23,3.24,2026-08-06 10:01:00,2026-08-06,USD
s220,220,41,23.99,2026-08-03 19:18:00,2026-08-03,USD
s221,221,52,7.24,2026-08-03 10:23:00,2026-08-03,USD
s222,222,7,7.72,2026-08-03 03:01:00,2026-08-03,USD
s223,223,6,8.61,2026-08-03 02:46:00,2026-08-03,USD
s224,224,58,10.38,2026-08-03 04:04:00,2026-08-03,USD
s225,225,11,19.99,2026-08-03 19:39:00,2026-08-03,USD
s226,226,13,31.85,2026-08-03 14:21:00,2026-08-03,USD
s227,227,28,14.76,2026-08-03 10:24:00,2026-08-03,USD
s228,228,18,54.87,2026-08-03 23:29:00,2026-08-03,USD
s229,229,46,2.6,2026-08-04 04:40:00,2026-08-04,USD
s230,230,20,7.41,2026-08-03 18:25:00,2026-08-03,USD
s232,232,24,180.38,2026-08-03 05:41:00,2026-08-03,USD
s234,234,17,2.02,2026-08-03 14:49:00,2026-08-03,USD
s235,235,44,32.26,2026-08-03 03:53:00,2026-08-03,USD
s236,236,47,10.65,2026-08-03 23:44:00,2026-08-03,USD
s237,237,29,16.45,2026-08-03 23:15:00,2026-08-03,USD
s238,238,34,13.48,2026-08-03 05:40:00,2026-08-03,USD
s239,239,43,25.98,2026-08-03 06:17:00,2026-08-03,USD
s240,240,49,160.57,2026-08-03 06:29:00,2026-08-03,USD
s241,241,8,38.67,2026-08-02 14:39:00,2026-08-02,USD
s242,242,12,150.37,2026-08-03 09:07:00,2026-08-03,USD
s243,243,12,19.53,2026-08-03 15:40:00,2026-08-03,USD
s244,244,35,79.7,2026-08-02 14:39:00,2026-08-02,USD
s245,245,4,23.11,2026-08-03 13:45:00,2026-08-03,USD
s246,246,54,26.53,2026-08-03 07:34:00,2026-08-03,USD
s247,247,19,11.46,2026-08-03 17:52:00,2026-08-03,USD
s248,248,24,37.81,2026-08-03 09:55:00,2026-08-03,USD
s249,249,3,25.7,2026-08-04 06:51:00,2026-08-04,USD
s250,250,48,35.68,2026-08-03 06:51:00,2026-08-03,USD
s251,251,4,37.1,2026-08-04 18:17:00,2026-08-04,USD
s252,252,55,36.79,2026-08-06 20:08:00,2026-08-06,USD
s253,253,45,23.45,2026-08-05 15:09:00,2026-08-05,USD
s254,254,37,42.49,2026-08-05 12:32:00,2026-08-05,USD
s255,255,48,119.53,2026-08-03 17:25:00,2026-08-03,USD
s256,256,14,23.51,2026-08-03 10:57:00,2026-08-03,USD
s257,257,44,80.88,2026-08-03 13:12:00,2026-08-03,USD
s258,258,45,2.15,2026-08-02 01:25:00,2026-08-02,USD
s259,259,41,10.66,2026-08-02 15:04:00,2026-08-02,USD
s260,260,9,14.92,2026-08-04 22:08:00,2026-08-04,USD
s261,261,31,8.38,2026-08-05 12:49:00,2026-08-05,USD
s262,262,53,38.51,2026-08-02 14:22:00,2026-08-02,USD
s263,263,47,4.22,2026-08-05 03:37:00,2026-08-05,USD
s264,264,47,21.1,2026-08-03 22:01:00,2026-08-03,USD
s265,265,55,9.1,2026-08-04 15:24:00,2026-08-04,USD
s266,266,8,11.38,2026-08-09 04:24:00,2026-08-09,USD
s267,267,56,60.56,2026-08-09 00:37:00,2026-08-09,USD
s268,268,5,19.67,2026-08-04 20:34:00,2026-08-04,USD
s269,269,35,31.44,2026-08-07 17:20:00,2026-08-07,USD
s270,270,26,50.87,2026-08-04 01:15:00,2026-08-04,USD
s272,272,9,35.59,2026-08-04 11:08:00,2026-08-04,USD
s273,273,48,44.42,2026-08-03 08:45:00,2026-08-03,USD
s274,274,37,50.76,2026-08-03 05:16:00,2026-08-03,USD
s275,275,50,5.82,2026-08-02 07:02:00,2026-08-02,USD
s276,276,31,0.79,2026-08-04 07:20:00,2026-08-04,USD
s277,277,16,15.45,2026-08-03 05:14:00,2026-08-03,USD
s278,278,52,30.2,2026-08-03 10:05:00,2026-08-03,USD
s279,279,36,21.41,2026-08-03 11:37:00,2026-08-03,USD
s280,280,32,75.8,2026-08-02 20:53:00,2026-08-02,USD
s281,281,45,176.87,2026-08-03 04:45:00,2026-08-03,USD
s282,282,18,87.99,2026-08-02 16:08:00,2026-08-02,USD
s283,283,41,13.29,2026-08-03 22:53:00,2026-08-03,USD
s284,284,48,15.03,2026-08-04 04:06:00,2026-08-04,USD
s285,285,11,26.28,2026-08-03 14:16:00,2026-08-03,USD
s286,286,55,14.42,2026-08-03 10:09:00,2026-08-03,USD
s287,287,6,9.33,2026-08-02 14:35:00,2026-08-02,USD
s289,289,54,42.85,2026-08-06 18:37:00,2026-08-06,USD
s290,290,17,79.99,2026-08-03 18:27:00,2026-08-03,USD
s291,291,53,58.56,2026-08-05 08:28:00,2026-08-05,USD
s292,292,57,5.83,2026-08-03 01:05:00,2026-08-03,USD
s293,293,18,17.98,2026-08-04 12:50:00,2026-08-04,USD
s294,294,46,18.26,2026-08-03 05:01:00,2026-08-03,USD
s295,295,21,33.78,2026-08-03 05:06:00,2026-08-03,USD
s296,296,16,15.36,2026-08-03 11:59:00,2026-08-03,USD
s297,297,54,18.91,2026-08-04 18:36:00,2026-08-04,USD
s298,298,10,27.66,2026-08-02 07:38:00,2026-08-02,USD
s299,299,15,8.3,2026-08-04 01:01:00,2026-08-04,USD
s300,300,10,55.53,2026-08-02 18:06:00,2026-08-02,USD
s301,301,22,24.09,2026-08-03 05:45:00,2026-08-03,USD
s302,302,36,43.4,2026-08-04 05:46:00,2026-08-04,USD
s303,303,1,181.64,2026-08-06 10:47:00,2026-08-06,USD
s304,304,5,228.44,2026-08-04 08:50:00,2026-08-04,USD
s305,305,7,15.79,2026-08-03 11:34:00,2026-08-03,USD
s306,306,25,7.52,2026-08-04 09:01:00,2026-08-04,USD
s307,307,21,16.25,2026-08-04 10:38:00,2026-08-04,USD
s308,308,40,21.31,2026-08-03 13:44:00,2026-08-03,USD
s309,309,36,84.7,2026-08-02 04:03:00,2026-08-02,USD
s311,311,11,10.54,2026-08-03 05:23:00,2026-08-03,USD
s312,312,57,23.51,2026-08-03 18:03:00,2026-08-03,USD
s313,313,10,93.37,2026-08-07 17:03:00,2026-08-07,USD
s314,314,54,17.03,2026-08-03 12:57:00,2026-08-03,USD
s315,315,55,46.25,2026-08-02 05:10:00,2026-08-02,USD
s316,316,14,42.31,2026-08-11 19:16:00,2026-08-11,USD
s317,317,21,8.23,2026-08-03 22:39:00,2026-08-03,USD
s318,318,38,26.05,2026-08-03 03:36:00,2026-08-03,USD
s319,319,50,10.04,2026-08-03 18:38:00,2026-08-03,USD
s320,320,31,12.82,2026-08-02 22:15:00,2026-08-02,USD
s321,321,4,58.48,2026-08-02 04:19:00,2026-08-02,USD
s322,322,48,17.49,2026-08-03 13:47:00,2026-08-03,USD
s323,323,32,68.2,2026-08-03 05:12:00,2026-08-03,USD
s324,324,57,5.42,2026-08-03 20:59:00,2026-08-03,USD
s325,325,8,49.67,2026-08-05 11:10:00,2026-08-05,USD
s326,326,54,43.53,2026-08-04 07:41:00,2026-08-04,USD
s327,327,15,35.71,2026-08-07 15:58:00,2026-08-07,USD
s328,328,9,52.08,2026-08-06 13:57:00,2026-08-06,USD
s329,329,25,30.11,2026-08-04 18:06:00,2026-08-04,USD
s330,330,1,25.86,2026-08-03 15:04:00,2026-08-03,USD
s331,331,22,52.22,2026-08-04 19:25:00,2026-08-04,USD
s332,332,43,7.99,2026-08-03 23:02:00,2026-08-03,USD
s333,333,38,50.41,2026-08-04 21:22:00,2026-08-04,USD
s334,334,33,20.3,2026-08-03 23:51:00,2026-08-03,USD
s335,335,36,48.38,2026-08-03 13:50:00,2026-08-03,USD
s336,336,57,17.25,2026-08-02 15:56:00,2026-08-02,USD
s337,337,13,24.67,2026-08-05 04:12:00,2026-08-05,USD
s338,338,22,17.71,2026-08-03 15:21:00,2026-08-03,USD
s339,339,41,73.28,2026-08-04 18:48:00,2026-08-04,USD
s340,340,11,10.31,2026-08-03 15:24:00,2026-08-03,USD
s342,342,1,38.2,2026-08-03 05:04:00,2026-08-03,USD
s343,343,53,29.81,2026-08-11 15:22:00,2026-08-11,USD
s344,344,49,72.41,2026-08-03 18:32:00,2026-08-03,USD
s345,345,11,50.5,2026-08-02 21:06:00,2026-08-02,USD
s346,346,42,8.44,2026-08-03 09:26:00,2026-08-03,USD
s347,347,43,6.79,2026-08-05 16:46:00,2026-08-05,USD
s348,348,40,5.17,2026-08-03 09:10:00,2026-08-03,USD
s349,349,3,56.21,2026-08-02 03:53:00,2026-08-02,USD
s350,350,37,40.01,2026-08-02 20:14:00,2026-08-02,USD
s351,351,30,32.3,2026-08-04 13:47:00,2026-08-04,USD
s352,352,8,46.55,2026-08-04 10:11:00,2026-08-04,USD
s353,353,8,13.83,2026-08-03 22:46:00,2026-08-03,USD
s354,354,4,23.06,2026-08-03 21:56:00,2026-08-03,USD
s355,355,54,23.31,2026-08-03 22:55:00,2026-08-03,USD
s356,356,44,39.89,2026-08-03 16:33:00,2026-08-03,USD
s357,357,45,15.55,2026-08-03 04:53:00,2026-08-03,USD
s358,358,53,3.03,2026-08-03 12:52:00,2026-08-03,USD
s359,359,16,7.61,2026-08-03 15:47:00,2026-08-03,USD
s361,361,6,237.2,2026-08-06 01:52:00,2026-08-06,USD
s362,362,15,52.74,2026-08-03 03:06:00,2026-08-03,USD
s363,363,49,13.32,2026-08-02 15:08:00,2026-08-02,USD
s364,364,53,36.74,2026-08-02 06:29:00,2026-08-02,USD
s365,365,53,113.77,2026-08-05 14:29:00,2026-08-05,USD
s366,366,43,14.58,2026-08-03 18:30:00,2026-08-03,USD
s367,367,60,13.0,2026-08-02 21:38:00,2026-08-02,USD
s368,368,39,96.91,2026-08-04 12:21:00,2026-08-04,USD
s369,369,19,31.58,2026-08-03 22:47:00,2026-08-03,USD
s370,370,60,27.27,2026-08-03 16:34:00,2026-08-03,USD
s371,371,45,22.9,2026-08-06 21:47:00,2026-08-06,USD
s372,372,58,51.32,2026-08-03 21:03:00,2026-08-03,USD
s373,373,13,5.5,2026-08-04 06:48:00,2026-08-04,USD
s374,374,35,57.58,2026-08-04 12:24:00,2026-08-04,USD
s375,375,27,12.47,2026-08-04 07:58:00,2026-08-04,USD
s376,376,41,70.97,2026-08-04 09:28:00,2026-08-04,USD
s377,377,12,15.43,2026-08-03 01:09:00,2026-08-03,USD
s378,378,60,18.38,2026-08-03 22:20:00,2026-08-03,USD
s379,379,34,14.44,2026-08-03 11:14:00,2026-08-03,USD
s380,380,57,12.27,2026-08-03 17:52:00,2026-08-03,USD
s381,381,49,39.27,2026-08-03 12:16:00,2026-08-03,USD
s382,382,35,32.43,2026-08-03 10:32:00,2026-08-03,USD
s383,383,6,50.72,2026-08-04 03:13:00,2026-08-04,USD
s384,384,35,47.46,2026-08-03 02:03:00,2026-08-03,USD
s385,385,12,30.86,2026-08-03 13:20:00,2026-08-03,USD
s386,386,2,20.22,2026-08-02 11:59:00,2026-08-02,USD
s387,387,33,17.54,2026-08-02 17:14:00,2026-08-02,USD
s388,388,9,223.87,2026-08-03 00:35:00,2026-08-03,USD
s389,389,56,27.03,2026-08-03 09:13:00,2026-08-03,USD
s390,390,48,95.6,2026-08-03 05:14:00,2026-08-03,USD
s391,391,40,45.2,2026-08-04 20:35:00,2026-08-04,USD
s392,392,5,24.29,2026-08-06 04:42:00,2026-08-06,USD
s393,393,42,16.6,2026-08-03 22:37:00,2026-08-03,USD
s395,395,16,159.01,2026-08-02 15:29:00,2026-08-02,USD
s396,396,29,21.5,2026-08-02 04:57:00,2026-08-02,USD
s397,397,35,4.22,2026-08-02 18:37:00,2026-08-02,USD
s398,398,26,40.34,2026-08-11 20:49:00,2026-08-11,USD
s399,399,10,8.46,2026-08-03 11:32:00,2026-08-03,USD
s400,400,1,128.03,2026-08-03 18:36:00,2026-08-03,USD
s401,401,43,56.75,2026-08-04 02:16:00,2026-08-04,USD
s402,402,24,7.11,2026-08-03 01:41:00,2026-08-03,USD
s403,403,21,14.67,2026-08-03 11:37:00,2026-08-03,USD
s404,404,42,11.94,2026-08-03 14:10:00,2026-08-03,USD
s405,405,15,6.39,2026-08-03 10:46:00,2026-08-03,USD
s406,406,8,27.41,2026-08-03 01:08:00,2026-08-03,USD
s407,407,37,34.72,2026-08-02 05:33:00,2026-08-02,USD
s408,408,26,33.82,2026-08-03 15:10:00,2026-08-03,USD
s409,409,15,123.27,2026-08-03 14:38:00,2026-08-03,USD
s410,410,38,3.78,2026-08-05 04:38:00,2026-08-05,USD
s411,411,7,86.54,2026-08-03 19:34:00,2026-08-03,USD
s412,412,53,47.01,2026-08-03 15:50:00,2026-08-03,USD
s413,413,50,18.53,2026-08-03 02:18:00,2026-08-03,USD
s414,414,39,65.61,2026-08-02 16:00:00,2026-08-02,USD
s415,415,25,63.22,2026-08-03 08:54:00,2026-08-03,USD
s416,416,35,19.76,2026-08-03 05:23:00,2026-08-03,USD
s417,417,36,27.48,2026-08-03 21:07:00,2026-08-03,USD
s418,418,48,3.58,2026-08-04 05:24:00,2026-08-04,USD
s419,419,41,9.92,2026-08-04 19:41:00,2026-08-04,USD
s420,420,34,10.92,2026-08-04 06:02:00,2026-08-04,USD
s422,422,16,10.17,2026-08-03 23:45:00,2026-08-03,USD
s423,423,5,123.88,2026-08-03 07:38:00,2026-08-03,USD
s424,424,13,21.82,2026-08-02 16:18:00,2026-08-02,USD
s425,425,22,107.1,2026-08-04 14:43:00,2026-08-04,USD
s426,426,30,10.63,2026-08-04 11:33:00,2026-08-04,USD
s427,427,35,22.37,2026-08-03 11:13:00,2026-08-03,USD
