auth_id,merchant_id,card_token,auth_amount,auth_ts,auth_date,currency
46,19,tok_04765,6.08,2026-08-02 09:23:00,2026-08-02,USD
47,22,tok_02060,16.14,2026-08-02 09:14:00,2026-08-02,USD
48,49,tok_03967,35.27,2026-08-02 23:17:00,2026-08-02,USD
49,13,tok_00116,15.0,2026-08-02 09:45:00,2026-08-02,USD
50,45,tok_04703,37.9,2026-08-02 00:18:00,2026-08-02,USD
51,56,tok_04029,20.22,2026-08-02 12:04:00,2026-08-02,USD
52,37,tok_04967,10.18,2026-08-02 13:38:00,2026-08-02,USD
53,29,tok_02502,11.47,2026-08-02 13:36:00,2026-08-02,USD
54,14,tok_01424,16.52,2026-08-02 07:35:00,2026-08-02,USD
55,31,tok_02317,16.13,2026-08-02 22:44:00,2026-08-02,USD
56,51,tok_03483,43.38,2026-08-02 06:07:00,2026-08-02,USD
57,4,tok_04663,11.65,2026-08-02 23:58:00,2026-08-02,USD
58,18,tok_04900,24.57,2026-08-02 02:02:00,2026-08-02,USD
59,15,tok_02208,259.62,2026-08-02 21:36:00,2026-08-02,USD
60,29,tok_03571,53.78,2026-08-02 18:40:00,2026-08-02,USD
61,22,tok_02702,18.02,2026-08-02 05:26:00,2026-08-02,USD
62,30,tok_03312,10.48,2026-08-02 03:55:00,2026-08-02,USD
63,13,tok_03622,26.45,2026-08-02 15:48:00,2026-08-02,USD
64,57,tok_04988,34.76,2026-08-02 20:51:00,2026-08-02,USD
65,6,tok_02391,32.12,2026-08-02 22:32:00,2026-08-02,USD
66,30,tok_04164,27.89,2026-08-02 19:47:00,2026-08-02,USD
67,60,tok_02318,44.98,2026-08-02 00:46:00,2026-08-02,USD
68,35,tok_03091,23.66,2026-08-02 17:29:00,2026-08-02,USD
69,15,tok_03875,62.36,2026-08-02 10:45:00,2026-08-02,USD
70,9,tok_03607,24.75,2026-08-02 03:06:00,2026-08-02,USD
71,42,tok_03257,44.32,2026-08-02 19:41:00,2026-08-02,USD
72,46,tok_00295,78.9,2026-08-02 17:39:00,2026-08-02,USD
73,6,tok_00824,21.91,2026-08-02 20:28:00,2026-08-02,USD
74,51,tok_01193,8.43,2026-08-02 13:15:00,2026-08-02,USD
75,6,tok_01973,32.26,2026-08-02 21:31:00,2026-08-02,USD
76,30,tok_02831,33.98,2026-08-02 14:37:00,2026-08-02,USD
77,20,tok_00874,11.53,2026-08-02 15:15:00,2026-08-02,USD
78,2,tok_00402,11.0,2026-08-02 21:58:00,2026-08-02,USD
79,52,tok_02054,13.1,2026-08-02 19:43:00,2026-08-02,USD
80,58,tok_00274,30.11,2026-08-02 14:37:00,2026-08-02,USD
81,27,tok_02998,13.78,2026-08-02 17:33:00,2026-08-02,USD
82,53,tok_03837,2.14,2026-08-02 03:04:00,2026-08-02,USD
83,6,tok_02148,27.21,2026-08-02 21:37:00,2026-08-02,USD
84,15,tok_02688,21.85,2026-08-02 17:58:00,2026-08-02,USD
85,42,tok_02494,20.81,2026-08-02 01:31:00,2026-08-02,USD
86,24,tok_03434,68.36,2026-08-02 17:37:00,2026-08-02,USD
87,54,tok_00269,23.86,2026-08-02 08:44:00,2026-08-02,USD
88,44,tok_02939,3.05,2026-08-02 20:03:00,2026-08-02,USD
89,43,tok_00415,7.15,2026-08-02 00:50:00,2026-08-02,USD
90,49,tok_02692,30.03,2026-08-02 07:49:00,2026-08-02,USD
91,10,tok_01080,41.17,2026-08-02 00:00:00,2026-08-02,USD
92,17,tok_03673,28.74,2026-08-02 15:49:00,2026-08-02,USD
93,40,tok_00256,80.16,2026-08-02 14:03:00,2026-08-02,USD
94,32,tok_02639,44.23,2026-08-02 02:38:00,2026-08-02,USD
95,34,tok_00813,12.93,2026-08-02 13:50:00,2026-08-02,USD
96,57,tok_03267,13.01,2026-08-02 14:26:00,2026-08-02,USD
97,24,tok_00764,23.48,2026-08-02 02:27:00,2026-08-02,USD
98,38,tok_01002,122.54,2026-08-02 21:26:00,2026-08-02,USD
99,19,tok_04157,31.16,2026-08-02 18:13:00,2026-08-02,USD
100,36,tok_01853,10.37,2026-08-02 18:51:00,2026-08-02,USD
101,43,tok_02239,49.13,2026-08-02 05:44:00,2026-08-02,USD
102,56,tok_01163,4.92,2026-08-02 02:47:00,2026-08-02,USD
103,30,tok_02658,16.61,2026-08-02 23:49:00,2026-08-02,USD
104,49,tok_03630,42.86,2026-08-02 08:42:00,2026-08-02,USD
105,49,tok_02321,25.26,2026-08-02 03:43:00,2026-08-02,USD
106,26,tok_02688,141.21,2026-08-02 09:07:00,2026-08-02,USD
107,48,tok_01886,21.69,2026-08-02 17:32:00,2026-08-02,USD
108,56,tok_00638,47.6,2026-08-02 14:55:00,2026-08-02,USD
109,27,tok_01408,14.21,2026-08-02 10:51:00,2026-08-02,USD
110,55,tok_04293,8.34,2026-08-02 12:05:00,2026-08-02,USD
111,50,tok_04347,8.61,2026-08-02 03:32:00,2026-08-02,USD
112,42,tok_02097,46.38,2026-08-02 04:12:00,2026-08-02,USD
113,41,tok_03678,23.64,2026-08-02 18:43:00,2026-08-02,USD
114,10,tok_02481,20.59,2026-08-02 20:50:00,2026-08-02,USD
115,29,tok_00629,7.92,2026-08-02 09:41:00,2026-08-02,USD
116,36,tok_03897,28.11,2026-08-02 19:32:00,2026-08-02,USD
117,6,tok_03587,24.74,2026-08-02 07:28:00,2026-08-02,USD
118,19,tok_04898,11.35,2026-08-02 21:03:00,2026-08-02,USD
119,36,tok_04938,36.04,2026-08-02 23:55:00,2026-08-02,USD
120,42,tok_00695,40.61,2026-08-02 19:19:00,2026-08-02,USD
121,45,tok_04313,171.45,2026-08-02 21:05:00,2026-08-02,USD
122,20,tok_01573,13.09,2026-08-02 15:14:00,2026-08-02,USD
123,50,tok_00310,31.03,2026-08-02 16:42:00,2026-08-02,USD
124,10,tok_03586,219.63,2026-08-02 05:02:00,2026-08-02,USD
125,19,tok_04375,148.77,2026-08-02 07:15:00,2026-08-02,USD
126,44,tok_04120,22.59,2026-08-02 12:33:00,2026-08-02,USD
127,56,tok_04543,8.37,2026-08-02 11:59:00,2026-08-02,USD
128,49,tok_01208,9.46,2026-08-02 16:53:00,2026-08-02,USD
129,23,tok_04113,76.4,2026-08-02 12:23:00,2026-08-02,USD
130,21,tok_00314,74.43,2026-08-02 04:18:00,2026-08-02,USD
131,29,tok_02097,162.68,2026-08-02 00:13:00,2026-08-02,USD
132,19,tok_03440,15.47,2026-08-02 07:40:00,2026-08-02,USD
133,35,tok_00013,15.41,2026-08-02 13:39:00,2026-08-02,USD
134,6,tok_04458,25.96,2026-08-02 16:32:00,2026-08-02,USD
135,31,tok_02078,7.77,2026-08-02 11:47:00,2026-08-02,USD
136,51,tok_00850,10.18,2026-08-02 21:49:00,2026-08-02,USD
137,35,tok_03807,12.21,2026-08-02 21:44:00,2026-08-02,USD
138,50,tok_02586,2.7,2026-08-02 01:59:00,2026-08-02,USD
139,49,tok_02720,33.71,2026-08-02 01:17:00,2026-08-02,USD
140,58,tok_04065,71.26,2026-08-02 05:44:00,2026-08-02,USD
141,28,tok_04469,4.78,2026-08-02 05:18:00,2026-08-02,USD
142,39,tok_02880,36.72,2026-08-02 14:28:00,2026-08-02,USD
143,18,tok_00615,68.9,2026-08-02 01:42:00,2026-08-02,USD
144,55,tok_01035,52.43,2026-08-02 01:04:00,2026-08-02,USD
145,3,tok_03048,40.67,2026-08-02 11:28:00,2026-08-02,USD
146,42,tok_02145,33.68,2026-08-02 03:49:00,2026-08-02,USD
147,32,tok_03704,14.36,2026-08-02 02:11:00,2026-08-02,USD
148,21,tok_04442,59.87,2026-08-02 17:18:00,2026-08-02,USD
149,15,tok_01940,11.8,2026-08-02 04:50:00,2026-08-02,USD
150,36,tok_03922,8.05,2026-08-02 22:33:00,2026-08-02,USD
151,42,tok_02823,7.16,2026-08-02 16:08:00,2026-08-02,USD
152,33,tok_01327,12.37,2026-08-02 05:20:00,2026-08-02,USD
153,13,tok_02481,39.03,2026-08-02 04:39:00,2026-08-02,USD
154,10,tok_02766,6.35,2026-08-02 19:53:00,2026-08-02,USD
155,42,tok_04687,43.34,2026-08-02 06:26:00,2026-08-02,USD
156,31,tok_02437,3.18,2026-08-02 12:29:00,2026-08-02,USD
157,30,tok_02616,7.68,2026-08-02 10:46:00,2026-08-02,USD
158,24,tok_03822,25.18,2026-08-02 07:07:00,2026-08-02,USD
159,25,tok_02683,64.48,2026-08-02 05:59:00,2026-08-02,USD
160,30,tok_00738,24.46,2026-08-02 00:25:00,2026-08-02,USD
161,4,tok_03856,6.21,2026-08-02 20:18:00,2026-08-02,USD
162,17,tok_00371,108.58,2026-08-02 11:25:00,2026-08-02,USD
163,5,tok_02292,17.83,2026-08-02 17:52:00,2026-08-02,USD
164,26,tok_01631,28.24,2026-08-02 04:38:00,2026-08-02,USD
165,46,tok_01221,15.03,2026-08-02 14:38:00,2026-08-02,USD
166,40,tok_04156,41.57,2026-08-02 10:53:00,2026-08-02,USD
167,2,tok_04782,13.16,2026-08-02 13:19:00,2026-08-02,USD
168,17,tok_00421,67.32,2026-08-02 23:37:00,2026-08-02,USD
169,44,tok_00901,9.67,2026-08-02 22:12:00,2026-08-02,USD
170,21,tok_03362,19.81,2026-08-02 06:32:00,2026-08-02,USD
171,34,tok_03919,12.56,2026-08-02 21:33:00,2026-08-02,USD
172,35,tok_02166,9.15,2026-08-02 23:39:00,2026-08-02,USD
173,15,tok_04006,101.37,2026-08-02 22:20:00,2026-08-02,USD
174,37,tok_02828,38.08,2026-08-02 12:49:00,2026-08-02,USD
175,23,tok_02222,39.88,2026-08-02 17:59:00,2026-08-02,USD
176,38,tok_00431,55.03,2026-08-02 07:06:00,2026-08-02,USD
177,9,tok_03912,74.97,2026-08-02 15:41:00,2026-08-02,USD
178,4,tok_00306,31.38,2026-08-02 23:58:00,2026-08-02,USD
179,26,tok_02372,42.37,2026-08-02 23:56:00,2026-08-02,USD
180,20,tok_02332,27.59,2026-08-02 10:29:00,2026-08-02,USD
181,33,tok_02709,23.08,2026-08-02 03:10:00,2026-08-02,USD
182,22,tok_01438,69.32,2026-08-02 06:39:00,2026-08-02,USD
183,6,tok_03912,20.71,2026-08-02 04:20:00,2026-08-02,USD
184,49,tok_04694,14.34,2026-08-02 18:00:00,2026-08-02,USD
185,8,tok_04117,23.02,2026-08-02 21:59:00,2026-08-02,USD
186,41,tok_01810,61.03,2026-08-02 19:14:00,2026-08-02,USD
187,24,tok_04404,18.39,2026-08-02 15:51:00,2026-08-02,USD
188,39,tok_04622,18.59,2026-08-02 02:07:00,2026-08-02,USD
189,10,tok_04778,18.53,2026-08-02 22:31:00,2026-08-02,USD
190,33,tok_03788,18.18,2026-08-02 17:43:00,2026-08-02,USD
191,1,tok_03471,60.34,2026-08-02 01:22:00,2026-08-02,USD
192,31,tok_03444,7.22,2026-08-02 04:23:00,2026-08-02,USD
193,44,tok_00029,20.3,2026-08-02 07:48:00,2026-08-02,USD
194,20,tok_04358,20.02,2026-08-02 13:24:00,2026-08-02,USD
195,13,tok_01972,14.4,2026-08-02 00:13:00,2026-08-02,USD
196,46,tok_03296,52.5,2026-08-02 01:28:00,2026-08-02,USD
197,19,tok_02627,32.4,2026-08-02 21:15:00,2026-08-02,USD
198,18,tok_00385,34.45,2026-08-02 15:22:00,2026-08-02,USD
199,27,tok_03880,10.29,2026-08-02 17:15:00,2026-08-02,USD
200,4,tok_04342,487.89,2026-08-02 17:08:00,2026-08-02,USD
201,60,tok_01561,21.69,2026-08-02 17:03:00,2026-08-02,USD
202,52,tok_01778,106.23,2026-08-02 17:30:00,2026-08-02,USD
203,60,tok_03924,3.85,2026-08-02 23:58:00,2026-08-02,USD
204,16,tok_03820,35.1,2026-08-02 12:34:00,2026-08-02,USD
205,32,tok_03847,18.8,2026-08-02 23:48:00,2026-08-02,USD
206,3,tok_00133,27.77,2026-08-02 04:16:00,2026-08-02,USD
207,13,tok_04091,16.06,2026-08-02 07:35:00,2026-08-02,USD
208,42,tok_02886,48.72,2026-08-02 23:10:00,2026-08-02,USD
209,4,tok_00398,30.87,2026-08-02 02:48:00,2026-08-02,USD
210,9,tok_01238,48.82,2026-08-02 22:00:00,2026-08-02,USD
211,43,tok_04337,26.7,2026-08-02 00:46:00,2026-08-02,USD
212,45,tok_00877,98.13,2026-08-02 05:58:00,2026-08-02,USD
213,17,tok_00648,47.67,2026-08-02 12:23:00,2026-08-02,USD
214,20,tok_00260,158.83,2026-08-02 20:05:00,2026-08-02,USD
215,1,tok_02714,34.52,2026-08-02 13:36:00,2026-08-02,USD
216,58,tok_02297,23.58,2026-08-02 02:57:00,2026-08-02,USD
217,14,tok_03263,42.2,2026-08-02 22:59:00,2026-08-02,USD
218,55,tok_03145,4.69,2026-08-02 10:48:00,2026-08-02,USD
219,23,tok_02791,7.21,2026-08-02 02:38:00,2026-08-02,USD
220,41,tok_03538,23.99,2026-08-02 12:11:00,2026-08-02,USD
221,52,tok_01264,16.08,2026-08-02 08:24:00,2026-08-02,USD
222,7,tok_01086,17.16,2026-08-02 03:05:00,2026-08-02,USD
223,6,tok_02658,19.13,2026-08-02 19:55:00,2026-08-02,USD
224,58,tok_03119,10.7,2026-08-02 21:10:00,2026-08-02,USD
225,11,tok_00631,20.61,2026-08-02 15:23:00,2026-08-02,USD
226,13,tok_03242,22.75,2026-08-02 00:21:00,2026-08-02,USD
227,28,tok_02615,12.51,2026-08-02 12:18:00,2026-08-02,USD
228,18,tok_04620,54.87,2026-08-02 03:12:00,2026-08-02,USD
229,46,tok_00567,2.68,2026-08-02 22:52:00,2026-08-02,USD
230,20,tok_03467,7.64,2026-08-02 22:50:00,2026-08-02,USD
231,35,tok_03427,27.89,2026-08-02 22:34:00,2026-08-02,USD
232,24,tok_00697,128.84,2026-08-02 19:06:00,2026-08-02,USD
233,40,tok_03527,38.72,2026-08-02 10:06:00,2026-08-02,USD
234,17,tok_04756,4.5,2026-08-02 17:44:00,2026-08-02,USD
235,44,tok_00202,32.26,2026-08-02 11:30:00,2026-08-02,USD
236,47,tok_01695,10.98,2026-08-02 14:33:00,2026-08-02,USD
237,29,tok_00943,16.45,2026-08-02 22:01:00,2026-08-02,USD
238,34,tok_03493,13.48,2026-08-02 17:29:00,2026-08-02,USD
239,43,tok_01617,22.02,2026-08-02 19:28:00,2026-08-02,USD
240,49,tok_00834,114.69,2026-08-02 18:51:00,2026-08-02,USD
241,8,tok_03184,27.62,2026-08-02 19:39:00,2026-08-02,USD
242,12,tok_04835,127.43,2026-08-02 09:05:00,2026-08-02,USD
243,12,tok_03427,19.53,2026-08-02 12:38:00,2026-08-02,USD
244,35,tok_04546,56.93,2026-08-02 05:10:00,2026-08-02,USD
245,4,tok_04601,23.82,2026-08-02 12:32:00,2026-08-02,USD
246,54,tok_00253,22.11,2026-08-02 18:50:00,2026-08-02,USD
247,19,tok_04058,9.55,2026-08-02 23:35:00,2026-08-02,USD
248,24,tok_03616,32.04,2026-08-02 23:34:00,2026-08-02,USD
249,3,tok_03597,21.78,2026-08-02 02:55:00,2026-08-02,USD
250,48,tok_05000,30.24,2026-08-02 22:40:00,2026-08-02,USD
251,4,tok_04414,30.92,2026-08-02 19:10:00,2026-08-02,USD
252,55,tok_01111,30.66,2026-08-02 03:48:00,2026-08-02,USD
253,45,tok_02639,52.11,2026-08-02 22:53:00,2026-08-02,USD
254,37,tok_03703,42.49,2026-08-02 12:04:00,2026-08-02,USD
255,48,tok_03756,119.53,2026-08-02 23:40:00,2026-08-02,USD
256,14,tok_02767,24.24,2026-08-02 09:35:00,2026-08-02,USD
257,44,tok_01018,80.88,2026-08-02 00:59:00,2026-08-02,USD
258,45,tok_00765,2.15,2026-08-02 08:41:00,2026-08-02,USD
259,41,tok_03517,9.03,2026-08-02 07:41:00,2026-08-02,USD
260,9,tok_00077,33.15,2026-08-02 14:00:00,2026-08-02,USD
261,31,tok_00840,8.38,2026-08-02 23:06:00,2026-08-02,USD
262,53,tok_01171,38.51,2026-08-02 21:04:00,2026-08-02,USD
263,47,tok_03625,4.22,2026-08-02 13:55:00,2026-08-02,USD
264,47,tok_00691,17.58,2026-08-02 08:15:00,2026-08-02,USD
265,55,tok_03210,7.71,2026-08-02 06:18:00,2026-08-02,USD
266,8,tok_04328,8.13,2026-08-02 02:56:00,2026-08-02,USD
267,56,tok_01416,60.56,2026-08-02 17:48:00,2026-08-02,USD
268,5,tok_04105,19.67,2026-08-02 22:49:00,2026-08-02,USD
269,35,tok_00648,31.44,2026-08-02 09:32:00,2026-08-02,USD
270,26,tok_00542,43.11,2026-08-02 20:19:00,2026-08-02,USD
271,6,tok_01439,29.47,2026-08-02 21:07:00,2026-08-02,USD
272,9,tok_04285,35.59,2026-08-02 11:33:00,2026-08-02,USD
273,48,tok_00241,44.42,2026-08-02 03:21:00,2026-08-02,USD
274,37,tok_02951,36.26,2026-08-02 16:03:00,2026-08-02,USD
275,50,tok_00945,5.82,2026-08-02 23:14:00,2026-08-02,USD
276,31,tok_00290,1.76,2026-08-02 05:35:00,2026-08-02,USD
277,16,tok_00639,15.45,2026-08-02 08:36:00,2026-08-02,USD
278,52,tok_00565,25.17,2026-08-02 12:56:00,2026-08-02,USD
279,36,tok_04619,22.07,2026-08-02 09:50:00,2026-08-02,USD
280,32,tok_01234,54.14,2026-08-02 07:00:00,2026-08-02,USD
281,45,tok_01681,176.87,2026-08-02 03:33:00,2026-08-02,USD
282,18,tok_03052,87.99,2026-08-02 22:29:00,2026-08-02,USD
283,41,tok_01940,29.53,2026-08-02 04:18:00,2026-08-02,USD
284,48,tok_00612,15.03,2026-08-02 07:12:00,2026-08-02,USD
285,11,tok_04391,21.9,2026-08-02 03:22:00,2026-08-02,USD
286,55,tok_02493,12.22,2026-08-02 21:52:00,2026-08-02,USD
287,6,tok_02132,20.73,2026-08-02 09:52:00,2026-08-02,USD
288,48,tok_01146,26.72,2026-08-02 03:07:00,2026-08-02,USD
289,54,tok_03282,42.85,2026-08-02 06:23:00,2026-08-02,USD
290,17,tok_02717,79.99,2026-08-02 02:07:00,2026-08-02,USD
291,53,tok_03496,48.8,2026-08-02 12:11:00,2026-08-02,USD
292,57,tok_02014,6.01,2026-08-02 19:41:00,2026-08-02,USD
293,18,tok_04308,17.98,2026-08-02 20:15:00,2026-08-02,USD
294,46,tok_02819,15.22,2026-08-02 15:58:00,2026-08-02,USD
295,21,tok_00480,28.63,2026-08-02 08:51:00,2026-08-02,USD
296,16,tok_00459,34.13,2026-08-02 23:48:00,2026-08-02,USD
297,54,tok_02940,13.51,2026-08-02 23:58:00,2026-08-02,USD
298,10,tok_04442,27.66,2026-08-02 15:19:00,2026-08-02,USD
299,15,tok_01651,5.93,2026-08-02 10:51:00,2026-08-02,USD
300,10,tok_04312,123.41,2026-08-02 03:55:00,2026-08-02,USD
301,22,tok_03579,17.21,2026-08-02 05:50:00,2026-08-02,USD
302,36,tok_01437,43.4,2026-08-02 18:24:00,2026-08-02,USD
303,1,tok_01810,181.64,2026-08-02 19:40:00,2026-08-02,USD
304,5,tok_00094,163.17,2026-08-02 14:16:00,2026-08-02,USD
305,7,tok_03438,35.08,2026-08-02 14:10:00,2026-08-02,USD
306,25,tok_01848,7.52,2026-08-02 18:10:00,2026-08-02,USD
307,21,tok_01394,16.25,2026-08-02 10:56:00,2026-08-02,USD
308,40,tok_03557,18.06,2026-08-02 19:10:00,2026-08-02,USD
309,36,tok_02307,87.32,2026-08-02 08:19:00,2026-08-02,USD
310,24,tok_01636,93.12,2026-08-02 15:06:00,2026-08-02,USD
311,11,tok_03858,23.43,2026-08-02 12:31:00,2026-08-02,USD
312,57,tok_02157,19.59,2026-08-02 01:28:00,2026-08-02,USD
313,10,tok_02817,79.13,2026-08-02 02:51:00,2026-08-02,USD
314,54,tok_03890,17.03,2026-08-02 17:36:00,2026-08-02,USD
315,55,tok_04682,47.68,2026-08-02 16:43:00,2026-08-02,USD
316,14,tok_00642,42.31,2026-08-02 13:43:00,2026-08-02,USD
317,21,tok_04523,8.23,2026-08-02 12:20:00,2026-08-02,USD
318,38,tok_01226,26.05,2026-08-02 13:09:00,2026-08-02,USD
319,50,tok_02817,10.35,2026-08-02 17:56:00,2026-08-02,USD
320,31,tok_04987,9.16,2026-08-02 04:43:00,2026-08-02,USD
321,4,tok_04028,49.56,2026-08-02 08:54:00,2026-08-02,USD
322,48,tok_03415,14.82,2026-08-02 08:38:00,2026-08-02,USD
323,32,tok_00538,68.2,2026-08-02 05:19:00,2026-08-02,USD
324,57,tok_01632,12.04,2026-08-02 11:17:00,2026-08-02,USD
325,8,tok_04867,35.48,2026-08-02 15:28:00,2026-08-02,USD
326,54,tok_00407,36.89,2026-08-02 12:10:00,2026-08-02,USD
327,15,tok_04205,35.71,2026-08-02 13:01:00,2026-08-02,USD
328,9,tok_01834,43.4,2026-08-02 00:16:00,2026-08-02,USD
329,25,tok_03824,66.91,2026-08-02 06:19:00,2026-08-02,USD
330,1,tok_04600,25.86,2026-08-02 11:41:00,2026-08-02,USD
331,22,tok_02448,52.22,2026-08-02 22:12:00,2026-08-02,USD
332,43,tok_04075,17.75,2026-08-02 00:18:00,2026-08-02,USD
333,38,tok_02812,51.97,2026-08-02 06:46:00,2026-08-02,USD
334,33,tok_04574,16.92,2026-08-02 21:11:00,2026-08-02,USD
335,36,tok_02750,40.32,2026-08-02 21:41:00,2026-08-02,USD
336,57,tok_03800,17.25,2026-08-02 09:54:00,2026-08-02,USD
337,13,tok_04341,24.67,2026-08-02 12:19:00,2026-08-02,USD
338,22,tok_01174,17.71,2026-08-02 14:20:00,2026-08-02,USD
339,41,tok_00039,73.28,2026-08-02 01:28:00,2026-08-02,USD
340,11,tok_01061,22.92,2026-08-02 02:39:00,2026-08-02,USD
341,1,tok_04351,20.11,2026-08-02 10:12:00,2026-08-02,USD
342,1,tok_02821,31.83,2026-08-02 22:19:00,2026-08-02,USD
343,53,tok_02768,21.29,2026-08-02 16:27:00,2026-08-02,USD
344,49,tok_01838,72.41,2026-08-02 07:46:00,2026-08-02,USD
345,11,tok_02096,50.5,2026-08-02 20:49:00,2026-08-02,USD
346,42,tok_04484,8.44,2026-08-02 03:16:00,2026-08-02,USD
347,43,tok_04962,6.79,2026-08-02 19:44:00,2026-08-02,USD
348,40,tok_02155,11.49,2026-08-02 06:53:00,2026-08-02,USD
349,3,tok_03938,56.21,2026-08-02 22:21:00,2026-08-02,USD
350,37,tok_04192,33.34,2026-08-02 02:04:00,2026-08-02,USD
351,30,tok_00324,23.07,2026-08-02 05:54:00,2026-08-02,USD
352,8,tok_03586,33.25,2026-08-02 11:39:00,2026-08-02,USD
353,8,tok_03455,13.83,2026-08-02 15:41:00,2026-08-02,USD
354,4,tok_01485,23.06,2026-08-02 14:39:00,2026-08-02,USD
355,54,tok_03611,23.31,2026-08-02 13:02:00,2026-08-02,USD
356,44,tok_04629,28.49,2026-08-02 23:14:00,2026-08-02,USD
357,45,tok_02037,34.55,2026-08-02 21:30:00,2026-08-02,USD
358,53,tok_02711,6.74,2026-08-02 07:17:00,2026-08-02,USD
359,16,tok_03671,7.61,2026-08-02 18:05:00,2026-08-02,USD
360,42,tok_04565,7.04,2026-08-02 01:35:00,2026-08-02,USD
361,6,tok_01695,169.43,2026-08-02 17:41:00,2026-08-02,USD
362,15,tok_04915,54.37,2026-08-02 19:30:00,2026-08-02,USD
363,49,tok_04487,13.32,2026-08-02 09:33:00,2026-08-02,USD
364,53,tok_02084,81.65,2026-08-02 03:39:00,2026-08-02,USD
365,53,tok_03396,113.77,2026-08-02 03:02:00,2026-08-02,USD
366,43,tok_00036,32.4,2026-08-02 15:33:00,2026-08-02,USD
367,60,tok_04740,28.88,2026-08-02 05:11:00,2026-08-02,USD
368,39,tok_03430,80.76,2026-08-02 12:38:00,2026-08-02,USD
369,19,tok_04936,22.56,2026-08-02 13:44:00,2026-08-02,USD
370,60,tok_02381,27.27,2026-08-02 06:43:00,2026-08-02,USD
371,45,tok_04607,50.89,2026-08-02 11:30:00,2026-08-02,USD
372,58,tok_00105,51.32,2026-08-02 13:33:00,2026-08-02,USD
373,13,tok_02053,4.58,2026-08-02 09:09:00,2026-08-02,USD
374,35,tok_04186,57.58,2026-08-02 07:50:00,2026-08-02,USD
375,27,tok_02059,12.86,2026-08-02 00:12:00,2026-08-02,USD
376,41,tok_04478,60.14,2026-08-02 18:47:00,2026-08-02,USD
